test,slot,kernel,chains,astride,bstride,tokens,rounds,launches,mean_us,tflops,bitdiff,start_ms,end_ms
layout64,0,model4,4,1023,1023,400,16,12130,32.564880462,103.038707725,0,280017203,280017625
layout64,1,pair64,4,0,0,400,16,14240,26.798806180,125.208681965,0,280017921,280018328
layout64,2,pair64,4,0,0,400,16,14160,26.804519774,125.181992749,0,280018625,280019031
layout64,3,model4,4,1023,1023,400,16,11360,32.976848592,101.751481518,0,280019328,280019734
layout64,4,model4,4,1023,1023,400,16,11720,32.922269625,101.920166449,0,280020031,280020437
layout64,5,pair64,4,0,0,400,16,12040,26.748172757,125.445697933,0,280020718,280021062
layout64,6,pair64,4,0,0,400,16,14080,26.937784091,124.562703030,0,280021375,280021765
layout64,7,model4,4,1023,1023,400,16,11400,33.057456140,101.503369943,0,280022078,280022468
width,0,pair64,4,0,0,400,16,14070,26.954797441,124.484081444,0,280022765,280023171
width,1,pair128,4,0,0,400,16,14430,26.460221760,126.810849524,0,280023468,280023875
width,2,pair128,4,0,0,400,16,14110,26.451452870,126.852888439,0,280024171,280024578
width,3,pair64,4,0,0,400,16,14080,26.911931818,124.682361068,0,280024875,280025265
width,4,pair64,4,0,0,400,16,13740,26.963755459,124.442724796,0,280025578,280025968
width,5,pair128,4,0,0,400,16,14390,26.491382905,126.661685125,0,280026265,280026671
width,6,pair128,4,0,0,400,16,14880,26.479502688,126.718512788,0,280026968,280027390
width,7,pair64,4,0,0,400,16,13780,26.887445573,124.795908591,0,280027687,280028078
schedule,0,pair128,4,0,0,400,16,14300,26.495664336,126.641217880,0,280028375,280028781
schedule,1,pair128_adjacent,4,0,0,400,16,14160,26.525282486,126.499810201,0,280029078,280029468
schedule,2,pair128_adjacent,4,0,0,400,16,13900,26.328920863,127.443248336,0,280029781,280030156
schedule,3,pair128,4,0,0,400,16,13010,26.414296695,127.031328480,0,280030453,280030828
schedule,4,pair128,4,0,0,400,16,14560,26.475961538,126.735461340,0,280031125,280031531
schedule,5,pair128_adjacent,4,0,0,400,16,14080,26.397585227,127.111747954,0,280031828,280032218
schedule,6,pair128_adjacent,4,0,0,400,16,14410,26.458084663,126.821092407,0,280032531,280032921
schedule,7,pair128,4,0,0,400,16,14350,26.458815331,126.817590207,0,280033234,280033625
original_wide,0,model4,4,1023,1023,400,16,11230,33.103027605,101.363634773,0,280033921,280034328
original_wide,1,pair128,4,0,0,400,16,14310,26.467854647,126.774279394,0,280034625,280035015
original_wide,2,pair128,4,0,0,400,16,14410,26.310478834,127.532578223,0,280035328,280035718
original_wide,3,model4,4,1023,1023,400,16,11590,32.992752373,101.702433374,0,280036031,280036437
original_wide,4,model4,4,1023,1023,400,16,12000,32.928916667,101.899592810,0,280036734,280037156
original_wide,5,pair128,4,0,0,400,16,14300,26.463566434,126.794822173,0,280037453,280037859
original_wide,6,pair128,4,0,0,400,16,14200,26.449154930,126.863909601,0,280038156,280038546
original_wide,7,model4,4,1023,1023,400,16,11490,33.143429069,101.240073652,0,280038859,280039250
